lat,lon,municipio
-29.418633331369882,-51.50919578373248,São Pedro da Serra
-21.23254841512984,-48.095055316994575,Barrinha
-22.54332563975216,-43.99754675812045,Pinheiral
-6.403787072425774,-43.92399144949553,Paraibano
-7.71776885488124,-47.57860790293105,Barra do Ouro
-21.686638769876243,-43.21321473750034,Chácara
-22.107078321255518,-42.66419693622168,Sumidouro
-24.347402847872218,-52.33080502655535,Luiziana
-20.174828253873105,-49.757379788592615,Pontes Gestal
-24.160309194222883,-51.90799448047694,Godoy Moreira
-25.750162472245254,-53.07536859594607,Dois Vizinhos
-22.78048167107961,-44.078377872573334,Rio Claro
-3.856277724510927,-49.821133359396484,Tucuruí
-28.62517154757074,-52.44276577511123,Ibirapuitã
-22.69901091289826,-52.35611831952592,Santo Antônio do Caiuá
-25.59080023215853,-53.378307625245704,Nova Prata do Iguaçu
-5.88325938974072,-42.95578651380434,Palmeirais
-18.03622301430483,-50.36388073348491,Maurilândia
-15.335201919568151,-58.59759197269722,Indiavaí
-16.386133230812472,-49.37739853307146,Brazabrantes
-9.265026197564719,-37.898720130692745,Água Branca
-19.01500411539717,-41.70549729094669,Tumiritinga
-4.616824192496246,-41.95763986243632,Cocal de Telha
-8.773154668249148,-68.04763358913998,Boca do Acre
-16.56747752902444,-54.684821107397745,Rondonópolis
-6.662132609666528,-42.266221169112825,Tanque do Piauí
-27.7797072031512,-53.23767536242229,São Pedro das Missões
-11.827736479572788,-37.6775952618595,Conde
-27.021214464917996,-52.3218898440396,Xavantina
-23.30101755243621,-48.03861690775341,Quadra
-3.87351914984525,-45.436753493162726,Santa Inês
-7.0931390165706745,-39.6650849965683,Nova Olinda
-21.985805250776654,-43.46873335264156,Belmiro Braga
-7.430442167187226,-37.436516697981745,Santa Terezinha
-3.630339808939216,-41.42083937781371,Cocal dos Alves
-28.479420914663827,-49.20447504297498,Pedras Grandes
-14.199788878864451,-49.65971492489412,Campos Verdes
-21.2259256759681,-57.38415583337983,Porto Murtinho
-22.101530974240628,-44.091849401954555,Santa Rita de Jacutinga
-22.782187431879102,-42.72544850187215,Tanguá
-25.737233765350823,-53.70776967375683,Planalto
-14.556802578411057,-46.19172014624091,Damianópolis
-15.696854082085496,-44.14493123780489,Ibiracatu
-10.178291110263531,-37.529278279594145,Nossa Senhora da Glória
-6.330341730554728,-47.78145161795511,Nazaré
-23.347417691644488,-53.29020222047757,Douradina
-8.836064509171644,-36.02867957125046,Quipapá
-1.1420838146748375,-47.117900909942975,Capanema
-10.138330563528486,-36.61911887496424,Igreja Nova
-19.968304948716433,-40.35679727403295,Fundão
-4.7723156711278385,-39.19108453162074,Choró
-6.063997775737343,-35.28941624058382,São José de Mipibu
-6.14449335798489,-37.99306860857152,Serrinha dos Pintos
-15.276343673556031,-49.636660527645574,Ceres
