lat,lon,altitude
-25.8143812176812,-53.4836175358081,483.2167289999999
-25.7767652421911,-53.31493510182099,465.85204
-25.6318770902275,-53.3479572462114,490.156304
-25.4113199190377,-53.5711436726035,421.306119
-25.2559851252331,-53.5771259362793,597.601794
-25.4304049435915,-53.41173648903699,476.9200700000001
-25.6358731586601,-53.2171600749416,421.462611
-25.6165692695503,-53.1268226637842,462.356389
-25.7460100192612,-53.0548359924349,496.667412
-25.4194083187462,-53.1874988005459,534.482583
-25.0911596673316,-54.2431753258264,309.79579
-24.9421618548938,-54.1036264276883,505.8397959999999
-25.1189865228841,-54.02723703178771,586.140156
-24.7081421694804,-54.2448936714884,260.672493
-24.6256440137772,-54.231395741042,270.968732
-24.8340818666493,-54.0599182790456,523.100106
-25.149761208586,-53.85726938306739,624.595387
-25.0631701882863,-53.8800300706254,641.2747669999999
-24.9309309241334,-53.8598616786826,540.941653
-25.0587219002295,-53.6272357310511,740.607765
-24.7707942891292,-53.8995380841541,505.457523
-24.7320769992824,-53.7414114911568,564.64577
-24.4488897638897,-54.1644357171677,416.862857
-24.5592544942861,-54.06000781645311,430.00402
-24.5732085840776,-53.9726991274637,439.323465
-24.46476453260181,-53.955116084308,393.195605
-24.1674835253546,-54.0985136359671,376.503117
-24.0852754792964,-54.2467577203893,258.977932
-24.4172088385418,-53.8334777829878,406.180258
-24.2794094842922,-53.8387717238929,337.15339
-24.0675754036839,-53.84401596715129,345.276715
-24.0025804978362,-53.7180991714403,352.868988
-24.95379749927771,-53.4597221819856,769.52822
-24.7996495152542,-53.2965277769968,700.236539
-24.6156669754192,-53.32491647843019,549.023054
-25.1964932487334,-53.1537063668495,706.56337
-25.112867070434,-53.0231216933671,859.314988
-25.03963448206561,-52.9968696036502,701.214794
-24.6475824579028,-53.1333198286711,485.180004
-24.8148946319132,-53.1210736649672,651.783245
-24.7112618437246,-53.0860050753783,519.215623
-24.5798134081611,-53.51449531483031,543.115676
-24.4085300842051,-53.5212369274392,409.472436
-24.3772489090173,-53.3881148800191,470.1346580000001
-24.4290304145846,-53.358110555243,498.673795
-24.1938462804714,-53.52404181355671,352.681097
-24.2941972130191,-53.31616101073949,397.114107
-24.0190125557152,-53.4412490788684,412.7792170000001
-24.5284853282826,-53.2575255396178,526.486634
-24.5410348842787,-52.9945060158455,517.019885
-24.00373262907191,-53.15152581889491,422.499505
-24.2790209170507,-53.0752885848612,496.303988
-24.1891883931559,-53.0273189133007,493.880009
-24.0447582362327,-53.01344656966341,467.6609599999999
-15.009324478308,-59.95255819947811,197.943405
-14.5362728145169,-59.5450742072991,272.583354
-14.4697889935471,-59.5903305027945,223.954482
-15.8576348614212,-58.46929874225211,185.870805
-15.4975142290697,-58.5739923860232,180.818286
-15.7679623090543,-58.31448558872399,188.891969
-15.6271057361822,-58.176505937373,231.679012
-15.2297275706311,-59.3380018443657,258.543409
-15.2958978413495,-59.06457115722701,272.996979
-15.3418963810325,-58.8798383973631,373.936532
-15.4461351141469,-58.7378245488632,260.175276
-15.4681442691829,-58.3483671518683,213.474802
-15.2356828096646,-58.1179393479916,187.085274
-15.1224095307099,-58.3853645299516,291.965221
-15.1358245742926,-58.1267518070165,293.232081
-21.707324558183,-57.8884823022607,78.864815
-22.0127382885385,-57.0259387643523,220.99928
-23.2764445601002,-55.5413276902645,515.582496
-22.9478813284076,-55.6307614468625,608.830844
-22.1159761777779,-56.5313145677842,198.343489
-22.1946853898682,-55.9480815053866,691.679609
-22.4861870780929,-55.7108501778637,628.770714
-21.1243412838146,-56.4928586185731,320.621818
-20.5548426975257,-56.6735673000081,292.789316
-21.479603145113,-56.1458445844119,265.075635
-21.4524591416024,-56.1081525022452,262.41265
-21.1581523128633,-55.83388992141349,195.0721
-20.4823601989565,-55.8045705990792,155.354682
-20.4746543462973,-55.7906160902267,152.460203
-20.2393334984304,-56.3901982861341,122.647034
-23.8968696607807,-55.4330304573901,415.93522
-23.9835132542699,-55.0533150890634,408.378556
-23.6347420213221,-55.0203205182963,359.652164
-23.1005822376948,-55.2438276926237,481.340413
-23.89406695076231,-54.4034847428654,362.203574
-23.9352736174856,-54.2816614237766,315.646732
-23.7740539193786,-54.2800282489385,329.599063
-23.6619015638135,-54.5586010866498,352.396557
-22.8624718337163,-54.60132283125709,375.452037
-22.5505815138437,-55.1501077344737,501.607704
-21.6236103831694,-55.1571395689956,378.098652
-22.6365822187274,-54.8269701013583,472.470163
-22.2272355362375,-54.8112891228926,444.064306
-22.4816870298604,-54.3080543756429,393.310051
-22.3754232103941,-54.5163759902411,331.697333
-22.4017875566794,-54.44212477684211,341.95457
-22.0824475595066,-54.7956587372653,348.79063
-22.0455302813855,-54.6079306686314,327.068427
-21.8011952569219,-54.54224222246891,318.300106
-23.490663261656,-54.18819830274341,338.407938
-23.8708814050519,-53.8919738559114,373.689031
-23.7582479645602,-53.8833305620973,348.692373
-23.7246547641817,-53.8104950389931,391.224616
-23.7974787679922,-53.6732521304902,430.975427
-23.508130737238,-53.73289315076921,392.883794
-23.396711427317,-53.62557016229591,363.813465
-23.0599994818193,-54.1988361701181,356.378408
-23.90470447054,-53.5110648541672,393.76826
-23.738394395443,-53.4869406945526,389.415368
-23.8945617445719,-53.4115002037974,415.662654
-23.7639499993035,-53.3084598047956,427.0484529999999
-23.4095888732628,-53.3738794057888,399.656544
-23.7769048599603,-53.0818216076221,461.701275
-23.6176096554274,-53.2048192711896,365.39649
-23.4711009784115,-53.0912329510219,425.239649
-23.086528578665,-53.4870407060353,321.470541
-23.3819072154777,-53.2964486552293,404.891309
-22.9585816071235,-53.29730642049571,389.283742
-23.3171088643701,-53.07532530673451,382.476042
-23.1054239380859,-53.1112728730423,359.916733
-23.0010888087247,-53.1959475093714,396.381126
-22.82512944855,-53.22293714046291,296.100092
-22.9302286211757,-53.1344689597801,488.438669
-22.4144245303329,-54.2346287898579,398.3697819999999
-22.2729491416043,-54.1611832428627,404.963585
-22.6549531049098,-53.8608865570425,347.988549
-22.3016035620454,-53.8269701470603,383.831426
-22.156062521774,-53.76973048046271,360.922677
-22.4899870558582,-53.3519187419396,271.338133
-22.2487593120915,-53.3515738148688,388.288738
-22.7783515579737,-53.26796811150509,273.763951
-22.7318252444575,-53.0371858842334,383.225614
-22.7638686041618,-52.98631262987659,344.864466
-22.5811754986355,-53.0586544794081,280.694047
-22.2958799659277,-53.2748069911071,329.043096
-20.692312057615,-55.281914486329,287.764716
-20.9310544589063,-54.9660301365064,489.033574
-21.4666342518715,-54.3828036000825,419.364465
-20.4423076794172,-54.8655566306489,428.486778
-20.4580299872454,-54.6157435664588,544.512131
-19.9618596059358,-54.8927719306444,254.503195
-19.4474291067475,-54.9875023242982,253.663447
-19.8312180166324,-54.8300060009779,297.0113
-20.1037403910954,-54.44068395393851,545.587363
-19.9209203024895,-54.36319389428411,633.226742
-19.3955213695662,-54.5645690937601,617.230603
-20.4436755249679,-53.761677624322,383.042971
-19.535259798153,-54.04330948642801,413.772232
-19.0063746540642,-57.6489854573401,149.864792
-19.0017756674418,-57.6024001955275,113.546848
-15.6740707805967,-58.0979035689912,251.460121
-15.6093061703671,-57.9171149786644,179.076212
-16.074095629861,-57.6747623072181,120.540178
-15.3155012395628,-58.0058251786064,192.562607
-14.6237847500065,-57.4912991530603,401.831814
-15.3313363055225,-57.2013572999111,160.775835
-15.0662579398692,-57.1864086868428,180.532606
-14.7794142413993,-57.2829239619584,218.707712
-14.7338159178671,-57.0537772728323,214.729211
-14.4907768192401,-57.00050363747089,406.396888
-14.4555216655191,-56.8444892395472,234.987416
-14.3624512712826,-56.9731767858961,311.403803
-16.2595094664589,-56.62650935273499,153.666083
-15.7896762061736,-56.3452585551782,235.975079
-16.1950994471373,-55.9671211336846,137.480136
-15.8691790434606,-56.0941622007565,144.024707
-15.6580648235976,-56.1446637401866,193.286861
-15.5699890126321,-56.0732520381911,242.927031
-15.2396872251141,-56.490194562614,195.679723
-15.197889979856,-56.3715525667098,201.780987
-14.4537245563087,-56.8020689751516,223.819249
-14.8264275710099,-56.4282932054054,202.679135
-14.7245002729059,-56.3340848305989,215.437604
-14.5147118098727,-56.49444166257549,238.0
-14.4013229617098,-56.433566081512,293.43399
-15.4605696784231,-55.7450045178921,806.085591
-18.9165864396768,-54.84225369011249,335.342105
-18.508410538078,-54.75805595019331,205.12382
-18.1018562336928,-54.5524458291661,276.231363
-17.5813552339093,-54.7549062179542,442.7810559999999
-18.6754480701946,-53.6425733238918,392.700428
-18.325033978799,-53.7080896262813,430.929927
-18.543548387841,-53.1330469048741,659.85165
-17.2068250548319,-54.1443008960004,519.708244
-17.8347436501711,-53.2819931222741,874.216457
-17.3155899398596,-53.22026032998431,669.952972
-17.3263507857821,-53.2051465107986,699.76047
-16.946722175513,-53.5284541196243,776.9120339999998
-16.8575455373669,-53.03561988386,453.412444
-15.9648381836498,-54.9641881751901,347.465702
-16.0027085200254,-54.9189931830667,258.319565
-15.8074551502946,-54.9174807825692,333.432456
-15.5537042698269,-55.1716554148957,746.458888
-16.4701628729862,-54.6335870401784,232.440085
-16.6222104153648,-54.4713956382101,248.504424
-16.4663303082739,-54.2562463683381,279.40174
-16.0446851886071,-54.8887609429504,238.071258
-15.8181355564855,-54.4007326559538,372.300524
-15.5522935926261,-54.3000532591227,662.656159
-14.9254644555349,-54.9719088691261,481.837125
-14.6607059390278,-54.7834957522787,509.109884
-16.3483892675563,-53.7609640294195,489.954831
-16.0752374007198,-53.55584396202981,406.379119
-14.427698479643,-54.0540919919065,465.2897379999999
-14.8008133960851,-53.6117238521722,647.02335
-14.8865652622461,-53.0161155129018,368.192952
-9.44340653710605,-70.4864968937616,216.72423
-10.942865680565,-69.5634591746677,234.866835
-11.0282398276016,-68.7448680666749,206.036126
-11.0164110187314,-68.7479434259584,188.324139
-10.6520719399922,-68.5062948050463,173.281643
-8.95359112286319,-72.7902659086983,214.910605
-8.26666636255869,-72.7423339648033,201.805961
-7.59322259361088,-72.9165010261308,187.065998
-7.73360203347127,-72.6478549141997,189.585426
-7.63069000476114,-72.6725313174358,183.079525
-7.54777441458756,-72.5824305383396,182.751246
-9.1933578595305,-71.9508751248365,264.977881
-7.05098011420702,-71.6944180603084,156.327962
-8.15566859150029,-70.7555010628937,172.144466
-8.16024752973452,-70.3539836082165,159.822497
-7.43981754372578,-70.0304125429825,137.396301
-8.83631773660487,-69.2599445775075,162.133821
-9.06533950470602,-68.655684061692,132.133034
-6.66735256663392,-69.8662902624416,122.174399
-10.1481735858712,-67.7431723600051,207.924797
-9.82001962639185,-67.9518592792015,198.174197
-9.97829875240255,-67.8105287004235,137.865746
-10.5697677084521,-67.6735079719432,212.303309
-10.3351332824092,-67.1882600861516,129.189484
-9.60085823087717,-67.5405900835194,134.322793
-10.0737938921381,-67.0523165800206,205.894014
-12.4360138773168,-64.2316539391172,145.213903
-12.0637984118473,-63.57086471076491,165.693726
-10.7738837403235,-65.3239518196923,133.414381
-10.4117712943643,-65.3291490231467,150.930604
-10.5684164690079,-63.6249914265426,206.148936
-10.209805406906,-63.82967879175651,153.171166
-10.2630977555518,-63.2955591672175,155.400337
-9.71666673776296,-63.3176294334976,128.000112
-8.75124319580966,-67.3995777566805,106.766033
-7.71404364407086,-67.0020974885282,118.458317
-6.43779934840865,-68.2479174359782,112.652164
-4.88166590404391,-66.8966352816837,66.15796
-7.26194655309012,-64.79477302752,57.507314
-8.78502070319229,-63.70002007182979,84.750219
